Specimen,Collection,Kingdom,Classifaction,Class,Order,Common Name,Family,Species,Author,Year,Geological time,Location,lat,lon,color,BP (mb) Low,BP (mb) High,Wind Low (Km/hr),Wind High (Km/hr),Temp C Low,Temp C High,Percipitation (mm),Humidity High,Humidity Low,Habitat,Sex,Notes,Environment,Antenna,Antennules,Body Length 1 mm,Body Length 2 mm,Body Length 3 mm,Total Body Length,Fore Wing Area,Fore Wing Length01mm,Fore Wing Length02mm,Fore Wing Width01mm,Fore Wing Width02mm,Fore Wing Width03mm,Fore Wing Width04mm,Fore Wing Width05mm,Fore Wing Width06mm,Fore Wing Width07mm,Hind Wing Area,Hind Wing Length01mm,Hind Wing Length02mm,Hind Wing Width01mm,Hind Wing Width02mm,Hind Wing Width03mm,Hind Wing Width04mm,Hind Wing Width05mm,Hind Wing Width06mm,Hind Wing Width07mm,Fore Wing perimeter,Hind Wing perimeter,Wing Span,Number of Wings,Body Width01mm,Body Width02mm,Body Width03mm,Telson L,Telson W,Orbital,W. B-t orbitals,Chela L,Chela W,chela + immovable finger,movable finger,Librigena,Head thickness,Body Thickness 1,Body Thickness 2,Skull Length,Skull Hieght,Skull Width,Neck,Rib cage Length,Femur,Tibia,Foot Length,Foot Width,Humerous,Lower arm,Digits 1,Digits 2,Digits 3,Digits 4,Tail,Link to functions,Collector,Date,Data Collector,Date Entered
CMNHENT0043231,Cleveland Museum of Natural History,Animal,Flight animal,Insecta,Anisoptera,Common Green Darner,Aeschnidae,Anax junius,Drury,1773,Recent,"Big Creek tributary, within east Chardon township, near Chardon, Chardon township",41.6055,-81.1999,#997061,1022,1030,10,19,150,150,150,150,150,NA,M,NA,Air,-1,-1,27.3095464,44.2832349,0,71.59278129,522.7146499,51.06109809,55.36992379,12.27802008,10.78455911,11.28172667,8.853241174,11.54564454,12.37827776,9.08902669,687.315945,51.15263414,55.17638966,15.98181101,16.30025892,13.49348728,13.85142764,16.54995023,15.19747598,10.91940745,113.0399431,120.5466684,110.7398476,4,8.617651388,8.047511039,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Testingindex.html,,8/28/1975,Alexandra Calvin,2/23/2017
CMNHENT0043224,Cleveland Museum of Natural History,Animal,Flight animal,Insecta,Anisoptera,Common Green Darner,Aeschnidae,Anax junius,Drury,1773,Recent,"Holden Arboretum, 41.61055°N 81.31592°W, Lake Co., OH",41.6,-81.32,#997061,1015,1019,19,34,150,150,150,150,150,NA,M,NA,Air,-1,-1,24.96653597,42.04682247,0,67.01335844,405.290861,46.92538574,49.94121541,10.69111288,8.683853683,9.868118516,6.806732299,9.644034564,10.4673056,8.496375953,502.4787079,45.9614567,50.02157718,13.07611012,14.31585564,11.14667405,11.31127219,13.40756512,12.28651196,8.815103595,103.219911,105.4515956,99.88243082,4,6.031659333,8.120240945,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Testingindex.html,"Perry, T. E.",4/15/1976,Alexandra Calvin,2/23/2017
CMNHENT0043222,Cleveland Museum of Natural History,Animal,Flight animal,Insecta,Anisoptera,Common Green Darner,Aeschnidae,Anax junius,Drury,1773,Recent,"Camp Stigwandish, Lake Co., OH",41.7333,-81.0194,#997061,1500,1500,150,150,12,27,0.71,150,150,Pond,M,NA,Air,-1,-1,28.78285964,45.96990018,0,74.75275982,473.4406301,50.66737738,54.57725461,11.37719519,9.684721941,10.59979522,7.874540573,10.83453935,11.41983789,8.909260238,581.6606974,49.27849419,53.20587082,14.13703736,15.25741179,11.75549482,12.97135479,14.66574624,12.99449367,9.376537114,112.114251,114.7599739,109.1545092,4,7.819754469,7.854753254,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Testingindex.html,"Perry, T. E.",6/19/1977,Alexandra Calvin,2/23/2017
CMNHENT0043169,Cleveland Museum of Natural History,Animal,Flight animal,Insecta,Anisoptera,Common Green Darner,Aeschnidae,Anax junius,Drury,1773,Recent,"Big Creek tributary, within east Chardon township, near Chardon, Chardon township",41.6055,-81.1999,#997061,1019,1023,6,19,11,11,150,47,47,Creek,M,NA,Air,-1,-1,29.11802601,46.27322954,0,75.39125555,482.722667,49.46233151,53.14689214,11.75030475,9.929708018,10.73347765,7.786631829,11.41085935,11.76477236,9.270058175,599.2601193,48.19601421,52.28816677,14.69460374,15.15291703,12.51406383,12.50689508,14.9897753,13.90873005,10.12158859,109.8704406,113.3443165,106.2937843,4,7.369121252,8.184305116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Testingindex.html,"Perry, T. E.",6/23/1977,Alexandra Calvin,2/23/2017
CMNHENT0043088,Cleveland Museum of Natural History,Animal,Flight animal,Insecta,Anisoptera,Canada Darner,Aeschnidae,Aeshna canadensis,Walker,1908,Recent,"CAN, Ontario, Drag Lake, Wye Marsh",44.709,-79.864,#ba6693,1500,1500,150,150,150,150,150,150,150,NA,M,NA,Air,-1,-1,24.47609379,46.5434383,0,71.01953208,404.9135043,46.2883657,49.23143853,10.78894734,8.343637125,10.7403909,6.064127417,10.12219909,11.40557287,8.176832399,526.9383191,45.43538059,49.02886167,14.10305695,13.35854277,12.0217663,11.13955991,14.31920967,13.56441664,9.671249108,101.576994,106.9252927,98.46287707,4,5.886145672,7.186962167,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Testingindex.html,,6/24/1975,Alexandra Calvin,2/23/2017
CMNHENT0043087,Cleveland Museum of Natural History,Animal,Flight animal,Insecta,Anisoptera,Canada Darner,Aeschnidae,Aeshna canadensis,Walker,1908,Recent,"CAN, Ontario, Drag Lake, Wye Marsh",44.709,-79.864,#ba6693,1500,1500,150,150,150,150,150,150,150,NA,M,NA,Air,-1,-1,22.57550444,42.98113812,0,65.55664256,422.6492782,46.63882566,49.96612637,11.13388131,9.065109136,10.75406073,6.784802079,10.67786482,11.47909402,8.912166368,522.2504466,44.94490137,48.28718438,13.5139904,13.5304579,11.18045095,13.07665525,14.02156808,12.57164235,9.626854462,102.7786395,106.6147199,99.93225273,4,6.654601405,6.684566016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Testingindex.html,,6/24/1975,Alexandra Calvin,2/23/2017
CMNHENT0043086,Cleveland Museum of Natural History,Animal,Flight animal,Insecta,Anisoptera,Canada Darner,Aeschnidae,Aeshna canadensis,Walker,1908,Recent,"NY. Adirondacks, Durant Lake",43.8417,-74.4078,#ba6693,1015,1017,150,150,14,17,150,67,34,NA,M,NA,Air,-1,-1,22.5150069,48.34556008,0,70.86056698,403.5000788,45.51644869,48.13315341,10.79123907,8.731260717,10.69523069,6.784801008,10.23281467,11.57608328,9.290056759,486.226827,43.20552938,46.45773719,13.23697381,14.23967518,10.95804292,13.01454152,14.01494913,12.35412784,8.791272461,99.7891264,102.5521409,96.26630681,4,5.233409424,6.504415617,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Testingindex.html,,8/22/1982,Alexandra Calvin,2/23/2017
CMNHENT0043085,Cleveland Museum of Natural History,Animal,Flight animal,Insecta,Anisoptera,Canada Darner,Aeschnidae,Aeshna canadensis,Walker,1908,Recent,"Rock River, Hamilton Co., NY",43.8458,-74.2611,#ba6693,1015,1017,0,19,14,17,150,67,43,NA,U,NA,Air,-1,-1,21.39421899,41.38608806,0,62.78030705,335.66684,41.67988843,44.0566207,9.959220703,7.635472655,9.908692304,5.454336436,9.203724858,10.71110965,8.256077439,424.8516169,40.12801974,42.76025697,12.82521152,12.6931855,10.34181794,10.55299282,13.52487218,12.09993999,8.341189383,91.99568323,95.15221957,88.1132414,4,4.753464536,5.264474467,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Testingindex.html,,8/22/1982,Alexandra Calvin,2/23/2017
CMNHENT0043083,Cleveland Museum of Natural History,Animal,Flight animal,Insecta,Anisoptera,Canada Darner,Aeschnidae,Aeshna canadensis,Walker,1908,Recent,"NY. Adirondacks, Durant Lake",43.8417,-74.4078,#ba6693,1017,1023,0,19,14,22,150,87,41,NA,M,fog,Air,-1,-1,21.78965979,46.84750288,0,68.63716268,341.4988682,41.31685308,-1,8.544240992,9.409739758,7.05504038,9.235199852,9.895984089,8.209295171,9.528700462,413.5172722,41.24964634,-1,11.89169954,12.19901637,10.37381921,9.77423661,12.45036589,11.52864688,8.136168098,91.42843883,95.61976282,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Testingindex.html,,8/23/1983,Alexandra Calvin,2/23/2017
CMNHENT0042792,Cleveland Museum of Natural History,Animal,Flight animal,Insecta,Anisoptera,Splendid Clubtail,Gomphidae,Gomphus lineatifrons,Calvert,1921,Recent,"OH, Ashtabula Co. Harpersfield Grand R.",41.6347,-81.0706,#752995,1500,1500,150,150,8,28,150,150,150,NA,M,NA,Air,-1,-1,24.43467548,42.45361589,0,66.88829137,289.5003145,39.07232745,42.21050859,8.898273196,7.121955107,8.676360228,5.728421735,8.453377086,9.012072405,7.563589463,330.5636736,37.64971649,40.26728359,10.81700312,10.84056593,8.798130326,8.03008077,11.3891556,9.967325248,7.01078505,87.94688864,87.32221611,84.42101717,4,6.276362278,5.235134206,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Testingindex.html,"Perry, T. E.",5/28/1977,Alexandra Calvin,2/23/2017
