,description,img,label
OWLClass_000444,Missing description...,img/attach or generate.jpg,attach or generate
OWLClass_000445,Missing description...,img/transform or fragment.jpg,transform or fragment
OWLClass_000446,Missing description...,img/move or distribute.jpg,move or distribute
OWLClass_000447,Missing description...,img/maintain or optimize.jpg,maintain or optimize
OWLClass_000448,Missing description...,img/process information.jpg,process information
OWLClass_000449,Missing description...,img/attach.jpg,attach
OWLClass_000450,Missing description...,img/assemble.jpg,assemble
OWLClass_000451,Missing description...,img/generate energy.jpg,generate energy
OWLClass_000452,Missing description...,img/reproduce.jpg,reproduce
OWLClass_000453,Missing description...,img/physically assemble.jpg,physically assemble
OWLClass_000454,Missing description...,img/chemically assemble.jpg,chemically assemble
OWLClass_000455,Missing description...,img/permanently attach.jpg,permanently attach
OWLClass_000456,Missing description...,img/temporarily attach.jpg,temporarily attach
OWLClass_000457,Missing description...,img/maintain physical integrity.jpg,maintain physical integrity
OWLClass_000458,Missing description...,img/maintain community.jpg,maintain community
OWLClass_000459,Missing description...,img/regulate physiological/ecological processes.jpg,regulate physiological/ecological processes
OWLClass_000460,Missing description...,img/store resources.jpg,store resources
OWLClass_000461,Missing description...,img/optimize.jpg,optimize
OWLClass_000462,Missing description...,img/manage structural forces.jpg,manage structural forces
OWLClass_000463,Missing description...,img/prevent structural failure.jpg,prevent structural failure
OWLClass_000464,Missing description...,img/protect from biotic factors.jpg,protect from biotic factors
OWLClass_000465,Missing description...,img/protect from abiotic factors.jpg,protect from abiotic factors
OWLClass_000466,Missing description...,img/cooperate and coordinate.jpg,cooperate and coordinate
OWLClass_000467,Missing description...,img/compete.jpg,compete
OWLClass_000468,Missing description...,img/physiological processes.jpg,physiological processes
OWLClass_000469,Missing description...,img/ecological processes.jpg,ecological processes
OWLClass_000470,Missing description...,img/energy.jpg,energy
OWLClass_000471,Missing description...,img/bulk solids.jpg,bulk solids
OWLClass_000472,Missing description...,img/particulate solids.jpg,particulate solids
OWLClass_000473,Missing description...,img/liquids.jpg,liquids
OWLClass_000474,Missing description...,img/gases.jpg,gases
OWLClass_000475,Missing description...,img/optimize spaces.jpg,optimize spaces
OWLClass_000476,Missing description...,img/optimize materials.jpg,optimize materials
OWLClass_000477,Missing description...,img/adapt genotype.jpg,adapt genotype
OWLClass_000478,Missing description...,img/adapt phenotype.jpg,adapt phenotype
OWLClass_000479,Missing description...,img/adapt behaviors.jpg,adapt behaviors
OWLClass_000480,Missing description...,img/move.jpg,move
OWLClass_000481,Missing description...,img/distribute.jpg,distribute
OWLClass_000482,Missing description...,img/expel.jpg,expel
OWLClass_000483,Missing description...,img/(thermal) energy.jpg,(thermal) energy
OWLClass_000484,Missing description...,img/gases.jpg,gases
OWLClass_000485,Missing description...,img/liquids.jpg,liquids
OWLClass_000486,Missing description...,img/solids.jpg,solids
OWLClass_000487,Missing description...,img/energy.jpg,energy
OWLClass_000488,Missing description...,img/gases.jpg,gases
OWLClass_000489,Missing description...,img/liquids.jpg,liquids
OWLClass_000490,Missing description...,img/solids.jpg,solids
OWLClass_000491,Missing description...,img/translate.jpg,translate
OWLClass_000492,Missing description...,img/rotate.jpg,rotate
OWLClass_000493,Missing description...,img/move through matter.jpg,move through matter
OWLClass_000494,Missing description...,img/in gases.jpg,in gases
OWLClass_000495,Missing description...,img/on/in liquids.jpg,on/in liquids
OWLClass_000496,Missing description...,img/on/in solids.jpg,on/in solids
OWLClass_000497,Missing description...,img/emit signals.jpg,emit signals
OWLClass_000498,Missing description...,img/receive signals/environmental cues.jpg,receive signals/environmental cues
