mod,noun,full
abstract,concept,abstract concept
academic,achievement,academic achievement
academic,career,academic career
academic,circle,academic circle
academic,community,academic community
academic,debate,academic debate
academic,discipline,academic discipline
academic,discourse,academic discourse
academic,institution,academic institution
academic,journal,academic journal
academic,life,academic life
academic,performance,academic performance
academic,research,academic research
academic,skill,academic skill
academic,study,academic study
academic,success,academic success
academic,work,academic work
academic,world,academic world
academic,write,academic write
academic,year,academic year
accept,responsibility,accept responsibility
acceptable,behaviour,acceptable behaviour
accurate,assessment,accurate assessment
accurate,description,accurate description
accurate,information,accurate information
accurate,measurement,accurate measurement
accurate,picture,accurate picture
accurate,record,accurate record
achieve,goal,achieve goal
achieve,objective,achieve objective
achieve,outcome,achieve outcome
acquire,knowledge,acquire knowledge
active,involvement,active involvement
active,participant,active participant
active,participation,active participation
active,role,active role
acutely,aware,acutely aware
add,information,add information
additional,cost,additional cost
additional,information,additional information
additional,problem,additional problem
additional,resource,additional resource
additional,support,additional support
address,issue,address issue
administrative,practice,administrative practice
adopt,approach,adopt approach
adopt,procedure,adopt procedure
advanced,economy,advanced economy
advanced,technology,advanced technology
adverse,effect,adverse effect
adverse,reaction,adverse reaction
affect,development,affect development
affect,outcome,affect outcome
allocate,resource,allocate resource
allow,access,allow access
almost,identical,almost identical
alternative,approach,alternative approach
alternative,explanation,alternative explanation
alternative,form,alternative form
alternative,interpretation,alternative interpretation
alternative,mean,alternative mean
alternative,method,alternative method
alternative,model,alternative model
alternative,solution,alternative solution
alternative,source,alternative source
alternative,strategy,alternative strategy
alternative,view,alternative view
alternative,way,alternative way
ample,evidence,ample evidence
analytical,approach,analytical approach
analytical,tool,analytical tool
anecdotal,evidence,anecdotal evidence
annual,conference,annual conference
annual,meeting,annual meeting
annual,rate,annual rate
annual,report,annual report
annual,review,annual review
apply,equally,apply equally
apply,method,apply method
apply,theory,apply theory
appropriate,action,appropriate action
appropriate,behaviour,appropriate behaviour
appropriate,condition,appropriate condition
appropriate,datum,appropriate datum
appropriate,form,appropriate form
appropriate,language,appropriate language
appropriate,level,appropriate level
appropriate,point,appropriate point
appropriate,response,appropriate response
appropriate,skill,appropriate skill
appropriate,treatment,appropriate treatment
appropriate,way,appropriate way
armed,conflict,armed conflict
artificial,intelligence,artificial intelligence
assess,impact,assess impact
assessment,process,assessment process
associate,factor,associate factor
assume,responsibility,assume responsibility
assume,role,assume role
atomic,energy,atomic energy
attend,conference,attend conference
available,datum,available datum
available,evidence,available evidence
available,information,available information
available,resource,available resource
average,score,average score
background,knowledge,background knowledge
basic,assumption,basic assumption
basic,component,basic component
basic,concept,basic concept
basic,element,basic element
basic,function,basic function
basic,information,basic information
basic,premise,basic premise
basic,principle,basic principle
basic,research,basic research
basic,structure,basic structure
basic,technique,basic technique
bear,resemblance,bear resemblance
become,apparent,become apparent
become,available,become available
become,aware,become aware
become,blur,become blur
become,establish,become establish
become,evident,become evident
become,focus,become focus
become,independent,become independent
become,involve,become involve
become,obvious,become obvious
become,source,become source
become,visible,become visible
become,widespread,become widespread
begin,process,begin process
behave,differently,behave differently
beneficial,effect,beneficial effect
binary,opposition,binary opposition
binary,system,binary system
biological,evolution,biological evolution
biological,science,biological science
biological,sex,biological sex
brief,account,brief account
brief,description,brief description
brief,discussion,brief discussion
brief,history,brief history
brief,introduction,brief introduction
brief,overview,brief overview
brief,period,brief period
brief,review,brief review
brief,summary,brief summary
brief,time,brief time
broad,agreement,broad agreement
broad,category,broad category
broad,context,broad context
broad,definition,broad definition
broad,range,broad range
broad,spectrum,broad spectrum
broadly,similar,broadly similar
business,sector,business sector
business,transaction,business transaction
capitalist,country,capitalist country
capitalist,economy,capitalist economy
capitalist,society,capitalist society
capitalist,system,capitalist system
capitalist,world,capitalist world
career,development,career development
career,opportunity,career opportunity
careful,analysis,careful analysis
careful,attention,careful attention
careful,consideration,careful consideration
careful,think,careful think
carry,information,carry information
carryout,research,carryout research
carryout,task,carryout task
cast,doubt,cast doubt
causal,link,causal link
causal,relation,causal relation
causal,relationship,causal relationship
cause,consequence,cause consequence
cause,stress,cause stress
central,authority,central authority
central,concept,central concept
central,concern,central concern
central,control,central control
central,core,central core
central,feature,central feature
central,focus,central focus
central,government,central government
central,importance,central importance
central,issue,central issue
central,part,central part
central,point,central point
central,position,central position
central,problem,central problem
central,question,central question
central,role,central role
central,tenet,central tenet
central,theme,central theme
certain,aspect,certain aspect
certain,assumption,certain assumption
certain,characteristic,certain characteristic
certain,circumstance,certain circumstance
change,attitude,change attitude
change,attitude,change attitude
change,circumstance,change circumstance
change,constantly,change constantly
change,dramatically,change dramatically
change,nature,change nature
change,need,change need
change,pattern,change pattern
change,rapidly,change rapidly
change,world,change world
characteristic,feature,characteristic feature
chemical,reaction,chemical reaction
civil,case,civil case
civil,society,civil society
class,consciousness,class consciousness
classic,example,classic example
classic,study,classic study
classic,text,classic text
classic,work,classic work
classical,theory,classical theory
clear,boundary,clear boundary
clear,distinction,clear distinction
clear,evidence,clear evidence
clear,focus,clear focus
clear,indication,clear indication
clear,relationship,clear relationship
clear,statement,clear statement
clear,structure,clear structure
clearly,evident,clearly evident
clearly,important,clearly important
clearly,visible,clearly visible
climate,change,climate change
climatic,condition,climatic condition
close,contact,close contact
close,examination,close examination
close,inspection,close inspection
close,look,close look
close,proximity,close proximity
close,relationship,close relationship
close,scrutiny,close scrutiny
cognitive,ability,cognitive ability
cognitive,development,cognitive development
cognitive,skill,cognitive skill
collaborative,learn,collaborative learn
collect,datum,collect datum
collect,information,collect information
collective,action,collective action
collective,identity,collective identity
collective,memory,collective memory
combine,effect,combine effect
comeinto,conflict,comeinto conflict
comeinto,contact,comeinto contact
commercial,activity,commercial activity
commercial,transaction,commercial transaction
commit,crime,commit crime
commit,offence,commit offence
common,ancestor,common ancestor
