verb,dobj,full
achieve,goal,achieve goal
achieve,objective,achieve objective
achieve,outcome,achieve outcome
acquire,knowledge,acquire knowledge
add,information,add information
address,issue,address issue
adopt,approach,adopt approach
adopt,procedure,adopt procedure
affect,development,affect development
affect,outcome,affect outcome
allocate,resource,allocate resource
allow,access,allow access
apply,method,apply method
apply,theory,apply theory
assess,impact,assess impact
assume,responsibility,assume responsibility
assume,role,assume role
attend,conference,attend conference
bear,resemblance,bear resemblance
become,focus,become focus
become,involve,become involve
become,source,become source
begin,process,begin process
carry,information,carry information
carryout,research,carryout research
carryout,task,carryout task
cast,doubt,cast doubt
cause,consequence,cause consequence
cause,stress,cause stress
change,attitude,change attitude
cite,article,cite article
collect,datum,collect datum
collect,information,collect information
comeinto,conflict,comeinto conflict
comeinto,contact,comeinto contact
commit,crime,commit crime
commit,offence,commit offence
complete,task,complete task
conduct,analysis,conduct analysis
conduct,interview,conduct interview
conduct,research,conduct research
conduct,study,conduct study
conduct,survey,conduct survey
consider,aspect,consider aspect
consider,impact,consider impact
consider,implication,consider implication
consider,issue,consider issue
consider,possibility,consider possibility
consider,role,consider role
contain,element,contain element
contain,information,contain information
contributeto,development,contributeto development
convey,information,convey information
convey,meaning,convey meaning
convey,message,convey message
correct,error,correct error
cover,area,cover area
cover,range,cover range
cover,topic,cover topic
create,condition,create condition
create,environment,create environment
create,impression,create impression
create,opportunity,create opportunity
create,opportunity,create opportunity
create,problem,create problem
deal,issue,deal issue
demonstrate,competence,demonstrate competence
deny,access,deny access
describe,method,describe method
describe,procedure,describe procedure
describe,process,describe process
develop,approach,develop approach
develop,argument,develop argument
develop,method,develop method
develop,model,develop model
develop,strategy,develop strategy
develop,technique,develop technique
develop,theory,develop theory
disclose,information,disclose information
discuss,issue,discuss issue
discuss,topic,discuss topic
draw,attention,draw attention
draw,conclusion,draw conclusion
draw,distinction,draw distinction
draw,line,draw line
employ,method,employ method
employ,technique,employ technique
encounter,difficulty,encounter difficulty
encounter,problem,encounter problem
encourage,development,encourage development
engagein,activity,engagein activity
enhance,learn,enhance learn
enhance,performance,enhance performance
establish,relationship,establish relationship
examine,role,examine role
exercise,authority,exercise authority
experience,difficulty,experience difficulty
experience,problem,experience problem
explore,issue,explore issue
extend,use,extend use
extract,datum,extract datum
extract,information,extract information
face,challenge,face challenge
face,difficulty,face difficulty
face,dilemma,face dilemma
face,discrimination,face discrimination
face,problem,face problem
facilitate,development,facilitate development
fall,category,fall category
find,evidence,find evidence
find,information,find information
focus,attention,focus attention
focuson,aspect,focuson aspect
follow,assumption,follow assumption
follow,format,follow format
follow,instruction,follow instruction
follow,procedure,follow procedure
fulfil,obligation,fulfil obligation
gain,access,gain access
gain,information,gain information
gain,insight,gain insight
gather,datum,gather datum
gather,information,gather information
give,access,give access
give,consent,give consent
give,consideration,give consideration
give,emphasis,give emphasis
give,evidence,give evidence
give,explanation,give explanation
give,feedback,give feedback
give,guidance,give guidance
give,impression,give impression
